Gene Id: 	 Protein Id: DAA00620.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 552
Gene Id: 	 Protein Id: DAA00628.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 476
Gene Id: 	 Protein Id: DAA00629.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 302
Gene Id: 	 Protein Id: DAA00630.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 272
Gene Id: 	 Protein Id: DAA00631.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 389
Gene Id: 	 Protein Id: DAA00632.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 383
Gene Id: 	 Protein Id: DAA00618.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 160
Gene Id: 	 Protein Id: DAA00617.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1745
Gene Id: 	 Protein Id: DAA00633.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 173
Gene Id: 	 Protein Id: DAA00633.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 275
Gene Id: 	 Protein Id: DAA00634.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 881
Gene Id: 	 Protein Id: DAA00635.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 341
Gene Id: 	 Protein Id: DAA00636.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 347
Gene Id: 	 Protein Id: DAA00637.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 389
Gene Id: 	 Protein Id: DAA00638.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 383
Gene Id: 	 Protein Id: DAA00639.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 552
Gene Id: 	 Protein Id: DAA00639.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 313
Gene Id: 	 Protein Id: DAA00640.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 527
Gene Id: 	 Protein Id: DAA00641.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1487
Gene Id: 	 Protein Id: DAA00642.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 419
Gene Id: 	 Protein Id: DAA00643.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 12
Gene Id: 	 Protein Id: DAA00643.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1333
Gene Id: 	 Protein Id: DAA00644.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 8
Gene Id: 	 Protein Id: DAA00644.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 3584
Gene Id: 	 Protein Id: DAA00645.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 8
Gene Id: 	 Protein Id: DAA00645.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2003
Gene Id: 	 Protein Id: DAA00646.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1244
Gene Id: 	 Protein Id: DAA00647.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1754
Gene Id: 	 Protein Id: DAA00648.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1712
Gene Id: 	 Protein Id: DAA00649.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 593
Gene Id: 	 Protein Id: DAA00650.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1103
Gene Id: 	 Protein Id: DAA00651.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 239
Gene Id: 	 Protein Id: DAA00652.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 749
Gene Id: 	 Protein Id: DAA00653.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2855
Gene Id: 	 Protein Id: DAA00654.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 611
Gene Id: 	 Protein Id: DAA00655.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1586
Gene Id: 	 Protein Id: DAA00656.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2420
Gene Id: 	 Protein Id: DAA00657.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 315
Gene Id: 	 Protein Id: DAA00657.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 370
Gene Id: 	 Protein Id: DAA00658.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 587
Gene Id: 	 Protein Id: DAA00659.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 680
Gene Id: 	 Protein Id: DAA00660.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 320
Gene Id: 	 Protein Id: DAA00661.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 188
Gene Id: 	 Protein Id: DAA00662.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 479
Gene Id: 	 Protein Id: DAA00663.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 356
Gene Id: 	 Protein Id: DAA00664.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 272
Gene Id: 	 Protein Id: DAA00665.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 395
Gene Id: 	 Protein Id: DAA00666.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 383
Gene Id: 	 Protein Id: DAA00667.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 160
Gene Id: 	 Protein Id: DAA00668.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1742
Gene Id: 	 Protein Id: DAA00669.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 173
Gene Id: 	 Protein Id: DAA00669.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 275
Gene Id: 	 Protein Id: DAA00670.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 881
Gene Id: 	 Protein Id: DAA00671.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 341
Gene Id: 	 Protein Id: DAA00672.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 347
Gene Id: 	 Protein Id: DAA00673.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 389
Gene Id: 	 Protein Id: DAA01570.1	 Virus Id: AC_000008.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 383
Gene Id: 	 Protein Id: DAA05336.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 552
Gene Id: 	 Protein Id: DAA05336.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 313
Gene Id: 	 Protein Id: DAA05337.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 539
Gene Id: 	 Protein Id: DAA05338.1	 Virus Id: AC_000017.1	 Percentage of covered: 5.070046697798532 %	 Percentage of not covered: 94.92995330220147 %	 From: 1499
Gene Id: 	 Protein Id: DAA05339.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 419
Gene Id: 	 Protein Id: DAA05340.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 12
Gene Id: 	 Protein Id: DAA05340.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1333
Gene Id: 	 Protein Id: DAA05341.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 8
Gene Id: 	 Protein Id: DAA05341.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 3584
Gene Id: 	 Protein Id: DAA05342.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 8
Gene Id: 	 Protein Id: DAA05342.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2000
Gene Id: 	 Protein Id: DAA05343.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1244
Gene Id: 	 Protein Id: DAA05344.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1754
Gene Id: 	 Protein Id: DAA05345.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1721
Gene Id: 	 Protein Id: DAA05346.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 593
Gene Id: 	 Protein Id: DAA05347.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1103
Gene Id: 	 Protein Id: DAA05348.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 239
Gene Id: 	 Protein Id: DAA05349.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 749
Gene Id: 	 Protein Id: DAA05350.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2891
Gene Id: 	 Protein Id: DAA05351.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 611
Gene Id: 	 Protein Id: DAA05352.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1586
Gene Id: 	 Protein Id: DAA05353.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2420
Gene Id: 	 Protein Id: DAA05354.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 315
Gene Id: 	 Protein Id: DAA05354.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 364
Gene Id: 	 Protein Id: DAA05355.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 581
Gene Id: 	 Protein Id: DAA05356.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 680
Gene Id: 	 Protein Id: DAA05357.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 320
Gene Id: 	 Protein Id: DAA05358.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 188
Gene Id: 	 Protein Id: DAA05359.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 479
Gene Id: 	 Protein Id: DAA05360.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 413
Gene Id: 	 Protein Id: DAA05361.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 272
Gene Id: 	 Protein Id: DAA05363.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 398
Gene Id: 	 Protein Id: DAA05362.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 383
Gene Id: 	 Protein Id: DAA05364.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 160
Gene Id: 	 Protein Id: DAA05365.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1745
Gene Id: 	 Protein Id: DAA05367.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 173
Gene Id: 	 Protein Id: DAA05367.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 275
Gene Id: 	 Protein Id: DAA05366.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 881
Gene Id: 	 Protein Id: DAA05368.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 341
Gene Id: 	 Protein Id: DAA05369.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 347
Gene Id: 	 Protein Id: DAA05370.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 389
Gene Id: 	 Protein Id: DAA05371.1	 Virus Id: AC_000017.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 383
Gene Id: 	 Protein Id: DAA05372.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 579
Gene Id: 	 Protein Id: DAA05372.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 202
Gene Id: 	 Protein Id: DAA05373.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 533
Gene Id: 	 Protein Id: DAA05374.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1475
Gene Id: 	 Protein Id: DAA05375.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 413
Gene Id: 	 Protein Id: DAA05403.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 12
Gene Id: 	 Protein Id: DAA05403.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1330
Gene Id: 	 Protein Id: DAA05404.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 8
Gene Id: 	 Protein Id: DAA05404.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 3569
Gene Id: 	 Protein Id: DAA05405.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 8
Gene Id: 	 Protein Id: DAA05405.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1964
Gene Id: 	 Protein Id: DAA05377.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1166
Gene Id: 	 Protein Id: DAA05378.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1763
Gene Id: 	 Protein Id: DAA05376.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1631
Gene Id: 	 Protein Id: DAA05379.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 575
Gene Id: 	 Protein Id: DAA05406.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1049
Gene Id: 	 Protein Id: DAA05380.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 224
Gene Id: 	 Protein Id: DAA05381.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 749
Gene Id: 	 Protein Id: DAA05382.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2801
Gene Id: 	 Protein Id: DAA05383.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 626
Gene Id: 	 Protein Id: DAA05384.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1550
Gene Id: 	 Protein Id: DAA05385.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2486
Gene Id: 	 Protein Id: DAA05387.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 348
Gene Id: 	 Protein Id: DAA05387.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 352
Gene Id: 	 Protein Id: DAA05386.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 596
Gene Id: 	 Protein Id: DAA05388.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 680
Gene Id: 	 Protein Id: DAA05389.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 317
Gene Id: 	 Protein Id: DAA05390.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 437
Gene Id: 	 Protein Id: DAA05391.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 515
Gene Id: 	 Protein Id: DAA05392.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 536
Gene Id: 	 Protein Id: DAA05393.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 566
Gene Id: 	 Protein Id: DAA05394.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 272
Gene Id: 	 Protein Id: DAA05395.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 401
Gene Id: 	 Protein Id: DAA05396.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 404
Gene Id: 	 Protein Id: DAA05407.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 157
Gene Id: 	 Protein Id: DAA05397.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 974
Gene Id: 	 Protein Id: DAA05408.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 173
Gene Id: 	 Protein Id: DAA05408.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 248
Gene Id: 	 Protein Id: DAA05398.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 896
Gene Id: 	 Protein Id: DAA05399.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 365
Gene Id: 	 Protein Id: DAA05400.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 350
Gene Id: 	 Protein Id: DAA05401.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 386
Gene Id: 	 Protein Id: DAA05402.1	 Virus Id: AC_000018.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 374
Gene Id: E6	 Protein Id: 	 Virus Id: M14119.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 452
Gene Id: E6	 Protein Id: AAA46927.1	 Virus Id: M14119.1	 Percentage of covered: 11.58129175946548 %	 Percentage of not covered: 88.41870824053451 %	 From: 449
Gene Id: E7	 Protein Id: 	 Virus Id: M14119.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 296
Gene Id: E7	 Protein Id: AAA46928.1	 Virus Id: M14119.1	 Percentage of covered: 47.781569965870304 %	 Percentage of not covered: 52.218430034129696 %	 From: 293
Gene Id: E1	 Protein Id: 	 Virus Id: M14119.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1949
Gene Id: E1	 Protein Id: AAA46929.1	 Virus Id: M14119.1	 Percentage of covered: 23.895169578622816 %	 Percentage of not covered: 76.10483042137717 %	 From: 1946
Gene Id: E2	 Protein Id: 	 Virus Id: M14119.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1103
Gene Id: E2	 Protein Id: AAA46930.1	 Virus Id: M14119.1	 Percentage of covered: 7.818181818181818 %	 Percentage of not covered: 92.18181818181819 %	 From: 1100
Gene Id: E4	 Protein Id: 	 Virus Id: M14119.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 326
Gene Id: E4	 Protein Id: AAA46931.1	 Virus Id: M14119.1	 Percentage of covered: 4.024767801857585 %	 Percentage of not covered: 95.97523219814241 %	 From: 323
